model,condition,n,eer,min_dcf,cllr
A0,clean,18769,0.015446786759295852,0.03953132595237784,0.0780890636783672
A0,opus_16,18769,0.09483335279920865,0.22627626356385339,0.5328847037700614
A0,opus_32,18769,0.038306194593183726,0.0921632537549436,0.2021061760455659
A0,opus_64,18769,0.015557724516410893,0.03973246912727939,0.07435286464585457
A0,mp3_64,18769,0.0577033916017121,0.1593003361528117,0.55423319363201
A0,mp3_128,18769,0.05865774948316921,0.16129355115253738,0.5664643646180202
A0,aac_128,18769,0.016245758488224932,0.040303335473791474,0.08070758311118001
A1,clean,18769,0.009964922413907226,0.02675353766670511,0.0767089001434266
A1,opus_16,18769,0.029517505574963628,0.07644255257677746,0.1727284815216552
A1,opus_32,18769,0.01646763400245507,0.04169762253098627,0.08348224416479218
A1,opus_64,18769,0.009587660747149177,0.025607198181209583,0.07187701384717621
A1,mp3_64,18769,0.015979434578581926,0.042890766413279324,0.10245570955260305
A1,mp3_128,18769,0.015291400606767886,0.03954064474761817,0.09446686046971277
A1,aac_128,18769,0.010120308566435192,0.026575744085053407,0.07907071218205762
B0,clean,18769,0.07501444572850918,0.1555235264411209,0.38104095335161414
B0,opus_16,18769,0.18349680728121456,0.4867981125509028,0.8881160738371903
B0,opus_32,18769,0.11529584544630916,0.2826754718622744,0.6163329023414669
B0,opus_64,18769,0.08258245295562916,0.18013882912523663,0.3689753317001022
B0,mp3_64,18769,0.1343157807880795,0.3500175677554317,1.3311000155073913
B0,mp3_128,18769,0.1280793931091747,0.3293746642727581,1.3028313315739677
B0,aac_128,18769,0.0753917073952673,0.15853198653119055,0.3805319675300961
C1,clean,18769,0.008100655046406002,0.019122339243393797,0.04283071166862802
C1,opus_16,18769,0.02381376571534492,0.061736886068359774,0.11933764547177346
C1,opus_32,18769,0.013160809329623598,0.032578633467182955,0.06082063675687312
C1,opus_64,18769,0.007989717289290963,0.02011894674325665,0.042445306188571424
C1,mp3_64,18769,0.01700028182174114,0.04284867401925078,0.1260085359167008
C1,mp3_128,18769,0.016245758488224932,0.04121575818559766,0.11911388079097454
C1,aac_128,18769,0.008899626775335137,0.01993644115883597,0.04458789805240396
C2,clean,18769,0.009165950684978146,0.020886244261901304,0.05096893129016114
C2,opus_16,18769,0.024723675201389038,0.06285998117090309,0.12140148861588905
C2,opus_32,18769,0.013316195482151622,0.03465132125219635,0.06035285710207608
C2,opus_64,18769,0.008633302865692074,0.02064761548544278,0.04591000405824163
C2,mp3_64,18769,0.017843701946083146,0.04546406134446003,0.1305821688640945
C2,mp3_128,18769,0.0168893440646261,0.04285338602201996,0.1239956603144976
C2,aac_128,18769,0.009587660747149177,0.021733119776131488,0.052787640096439804
