condition,comparison,only_first_correct,only_second_correct,chi2,p_value,significant
clean,C1 vs A1,122,89,4.8530805687203795,0.02759680321802027,yes
clean,C1 vs B0,1319,65,1134.3995664739884,0.0,yes
clean,C2 vs C1,16,34,5.78,0.01620954140922537,yes
clean,A1 vs A0,216,114,30.912121212121214,2.6998028812563746e-08,yes
opus_16,C1 vs A1,353,246,18.757929883138566,1.4840497302381905e-05,yes
opus_16,C1 vs B0,3183,186,2664.2968239833776,0.0,yes
opus_16,C2 vs C1,38,55,2.752688172043011,0.09709106759647668,NO
opus_16,A1 vs A0,1474,247,873.3736199883789,0.0,yes
opus_32,C1 vs A1,207,147,9.833333333333334,0.0017137749524662738,yes
opus_32,C1 vs B0,2023,108,1719.0971374941341,0.0,yes
opus_32,C2 vs C1,34,35,0.0,1.0,NO
opus_32,A1 vs A0,608,197,208.8198757763975,0.0,yes
opus_64,C1 vs A1,118,88,4.08252427184466,0.043328882821300985,yes
opus_64,C1 vs B0,1461,62,1283.2593565331583,0.0,yes
opus_64,C2 vs C1,18,29,2.127659574468085,0.14466148777280496,NO
opus_64,A1 vs A0,218,108,36.44478527607362,1.5705274858390794e-09,yes
mp3_64,C1 vs A1,191,210,0.8079800498753117,0.36871812422282413,NO
mp3_64,C1 vs B0,2282,81,2048.2437579348284,0.0,yes
mp3_64,C2 vs C1,17,33,4.5,0.03389485352468924,yes
mp3_64,A1 vs A0,966,183,532.2228024369017,0.0,yes
mp3_128,C1 vs A1,187,206,0.8244274809160306,0.3638888465043808,NO
mp3_128,C1 vs B0,2175,78,1949.9405237461162,0.0,yes
mp3_128,C2 vs C1,23,34,1.7543859649122806,0.18532630419857932,NO
mp3_128,A1 vs A0,988,175,566.9337919174549,0.0,yes
aac_128,C1 vs A1,122,98,2.4045454545454548,0.12098326098309853,NO
aac_128,C1 vs B0,1312,65,1127.4625998547567,0.0,yes
aac_128,C2 vs C1,19,32,2.823529411764706,0.09289194088370478,NO
aac_128,A1 vs A0,230,115,37.6695652173913,8.38019098559073e-10,yes
