metric,model,condition,comparison,value,source_file
discordant_only_first_correct,,aac_128,A1 vs A0,230.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,aac_128,C1 vs A1,122.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,aac_128,C1 vs B0,1312.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,aac_128,C2 vs C1,19.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,clean,A1 vs A0,216.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,clean,C1 vs A1,122.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,clean,C1 vs B0,1319.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,clean,C2 vs C1,16.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_128,A1 vs A0,988.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_128,C1 vs A1,187.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_128,C1 vs B0,2175.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_128,C2 vs C1,23.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_64,A1 vs A0,966.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_64,C1 vs A1,191.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_64,C1 vs B0,2282.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,mp3_64,C2 vs C1,17.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_16,A1 vs A0,1474.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_16,C1 vs A1,353.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_16,C1 vs B0,3183.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_16,C2 vs C1,38.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_32,A1 vs A0,608.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_32,C1 vs A1,207.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_32,C1 vs B0,2023.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_32,C2 vs C1,34.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_64,A1 vs A0,218.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_64,C1 vs A1,118.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_64,C1 vs B0,1461.0,results/tables/table_mcnemar.csv
discordant_only_first_correct,,opus_64,C2 vs C1,18.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,aac_128,A1 vs A0,115.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,aac_128,C1 vs A1,98.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,aac_128,C1 vs B0,65.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,aac_128,C2 vs C1,32.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,clean,A1 vs A0,114.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,clean,C1 vs A1,89.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,clean,C1 vs B0,65.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,clean,C2 vs C1,34.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_128,A1 vs A0,175.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_128,C1 vs A1,206.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_128,C1 vs B0,78.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_128,C2 vs C1,34.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_64,A1 vs A0,183.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_64,C1 vs A1,210.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_64,C1 vs B0,81.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,mp3_64,C2 vs C1,33.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_16,A1 vs A0,247.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_16,C1 vs A1,246.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_16,C1 vs B0,186.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_16,C2 vs C1,55.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_32,A1 vs A0,197.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_32,C1 vs A1,147.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_32,C1 vs B0,108.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_32,C2 vs C1,35.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_64,A1 vs A0,108.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_64,C1 vs A1,88.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_64,C1 vs B0,62.0,results/tables/table_mcnemar.csv
discordant_only_second_correct,,opus_64,C2 vs C1,29.0,results/tables/table_mcnemar.csv
eer,A0,aac_128,,0.0162457584882249,results/tables/metrics_long.csv
eer,A0,clean,,0.0154467867592958,results/tables/metrics_long.csv
eer,A0,mp3_128,,0.0586577494831692,results/tables/metrics_long.csv
eer,A0,mp3_64,,0.0577033916017121,results/tables/metrics_long.csv
eer,A0,opus_16,,0.0948333527992086,results/tables/metrics_long.csv
eer,A0,opus_32,,0.0383061945931837,results/tables/metrics_long.csv
eer,A0,opus_64,,0.0155577245164108,results/tables/metrics_long.csv
eer,A1,aac_128,,0.0101203085664351,results/tables/metrics_long.csv
eer,A1,clean,,0.0099649224139072,results/tables/metrics_long.csv
eer,A1,mp3_128,,0.0152914006067678,results/tables/metrics_long.csv
eer,A1,mp3_64,,0.0159794345785819,results/tables/metrics_long.csv
eer,A1,opus_16,,0.0295175055749636,results/tables/metrics_long.csv
eer,A1,opus_32,,0.016467634002455,results/tables/metrics_long.csv
eer,A1,opus_64,,0.0095876607471491,results/tables/metrics_long.csv
eer,B0,aac_128,,0.0753917073952673,results/tables/metrics_long.csv
eer,B0,clean,,0.0750144457285091,results/tables/metrics_long.csv
eer,B0,mp3_128,,0.1280793931091747,results/tables/metrics_long.csv
eer,B0,mp3_64,,0.1343157807880795,results/tables/metrics_long.csv
eer,B0,opus_16,,0.1834968072812145,results/tables/metrics_long.csv
